bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,1,L NORRIS,McLaren,,1,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,12,K ANTONELLI,Mercedes,,2,,0.0629,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,3,M VERSTAPPEN,Red Bull Racing,,3,,0.0621,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,63,G RUSSELL,Mercedes,,4,,0.0629,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,44,L HAMILTON,Ferrari,,5,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,6,I HADJAR,Red Bull Racing,,6,,0.0621,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,81,O PIASTRI,McLaren,,7,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,16,C LECLERC,Ferrari,,8,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,30,L LAWSON,Racing Bulls,,9,,0.0826,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_event__control_room_overlay__LOCK_READY_20260706T124530Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-06T12:45:30Z,,,27,N HULKENBERG,Audi,,10,,0.075,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
