source_name,found,row_count,path
drivers,True,684,latest/openf1_lightweight_source_closure/data/openf1_drivers.csv
intervals,True,158841,latest/openf1_lightweight_source_closure/data/openf1_intervals.csv
pit,True,384,latest/openf1_lightweight_source_closure/data/openf1_pit.csv
position,True,18988,latest/openf1_lightweight_source_closure/data/openf1_position.csv
race_control,True,2584,latest/openf1_lightweight_source_closure/data/openf1_race_control.csv
source_readiness,True,9,latest/openf1_lightweight_source_closure/source_readiness_summary.csv
starting_grid,True,176,latest/openf1_lightweight_source_closure/data/openf1_starting_grid.csv
stints,True,3039,latest/openf1_lightweight_source_closure/data/openf1_stints.csv
weather,True,5447,latest/openf1_lightweight_source_closure/data/openf1_weather.csv
