date,session_key,meeting_key,gap_to_leader,interval,driver_number,source_closure_retrieved_utc
2026-05-02T15:19:43.223000+00:00,11275,1284,0.0,0.0,1,2026-07-19T07:14:12.040033Z
2026-05-02T15:20:31.942000+00:00,11275,1284,0.0,0.0,1,2026-07-19T07:14:12.040033Z
2026-05-02T15:20:36.176000+00:00,11275,1284,0.0,0.0,1,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:55.831000+00:00,11275,1284,0.276,,81,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:55.919000+00:00,11275,1284,0.444,0.168,16,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:56.202000+00:00,11275,1284,0.723,,63,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:56.262000+00:00,11275,1284,0.778,0.778,12,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:56.592000+00:00,11275,1284,1.084,0.64,3,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:56.686000+00:00,11275,1284,1.161,,43,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:56.918000+00:00,11275,1284,1.239,0.516,44,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:56.946000+00:00,11275,1284,1.421,,10,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:57.286000+00:00,11275,1284,1.81,0.649,6,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:57.885000+00:00,11275,1284,2.205,,87,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:57.961000+00:00,11275,1284,2.262,0.841,5,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.021000+00:00,11275,1284,2.289,0.084,55,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.169000+00:00,11275,1284,2.403,0.114,30,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.286000+00:00,11275,1284,2.517,0.114,31,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.334000+00:00,11275,1284,0.331,0.331,81,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.362000+00:00,11275,1284,2.589,,77,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.362000+00:00,11275,1284,2.585,0.068,11,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.436000+00:00,11275,1284,0.449,0.118,16,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.519000+00:00,11275,1284,2.763,0.178,23,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.619000+00:00,11275,1284,2.996,0.407,14,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.718000+00:00,11275,1284,3.255,0.259,18,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.822000+00:00,11275,1284,0.794,0.345,63,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:58.885000+00:00,11275,1284,0.854,0.06,12,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:59.268000+00:00,11275,1284,1.124,0.27,44,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:59.273000+00:00,11275,1284,1.181,0.057,3,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:59.284000+00:00,11275,1284,1.228,0.047,43,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:59.779000+00:00,11275,1284,1.69,0.462,10,2026-07-19T07:14:12.040033Z
2026-05-02T16:03:59.779000+00:00,11275,1284,1.746,0.056,6,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:00.187000+00:00,11275,1284,2.166,0.42,87,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:00.377000+00:00,11275,1284,2.306,0.14,5,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:00.755000+00:00,11275,1284,2.551,0.245,55,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:00.770000+00:00,11275,1284,2.579,0.028,30,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:01.018000+00:00,11275,1284,2.784,0.205,31,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:01.050000+00:00,11275,1284,2.791,0.007,11,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:01.054000+00:00,11275,1284,2.828,0.037,77,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:01.217000+00:00,11275,1284,2.985,0.157,23,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:01.606000+00:00,11275,1284,3.359,0.374,14,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:01.719000+00:00,11275,1284,3.511,0.152,18,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:03.002000+00:00,11275,1284,0.603,0.603,81,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:03.268000+00:00,11275,1284,0.78,0.177,16,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:03.569000+00:00,11275,1284,1.136,0.356,12,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:03.804000+00:00,11275,1284,1.364,0.228,63,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:04.302000+00:00,11275,1284,1.754,0.39,44,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:04.319000+00:00,11275,1284,1.8,0.046,3,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:04.413000+00:00,11275,1284,1.855,0.055,43,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:04.712000+00:00,11275,1284,2.174,0.319,10,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:05.085000+00:00,11275,1284,2.541,0.367,6,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:05.453000+00:00,11275,1284,2.794,0.253,87,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:05.512000+00:00,11275,1284,2.87,0.076,5,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:05.909000+00:00,11275,1284,3.256,0.386,30,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:05.952000+00:00,11275,1284,3.3,0.044,55,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:06.436000+00:00,11275,1284,3.549,0.249,31,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:06.478000+00:00,11275,1284,3.606,0.057,11,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:06.879000+00:00,11275,1284,3.928,0.322,77,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:06.955000+00:00,11275,1284,4.116,0.188,23,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:07.050000+00:00,11275,1284,0.73,0.73,81,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:07.088000+00:00,11275,1284,4.31,0.194,18,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:07.134000+00:00,11275,1284,4.344,0.034,14,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:07.468000+00:00,11275,1284,1.128,0.398,16,2026-07-19T07:14:12.040033Z
2026-05-02T16:04:07.786000+00:00,11275,1284,1.489,0.361,12,2026-07-19T07:14:12.040033Z
