bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,1,L NORRIS,McLaren,,1,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,16,C LECLERC,Ferrari,,2,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,3,M VERSTAPPEN,Red Bull Racing,,3,,0.0621,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,25,C HERTA,Cadillac,,4,,0.075,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,12,K ANTONELLI,Mercedes,,5,,0.0629,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,6,I HADJAR,Red Bull Racing,,6,,0.0621,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,36,A IWASA,Red Bull Racing,,7,,0.0621,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,38,D BEGANOVIC,Ferrari,,8,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,44,L HAMILTON,Ferrari,,9,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_event__experimental_challenger__20260727T013605Z,locked,2026_1291_hungary_budapest_hungaroring,2026,,Hungary - Budapest - Hungaroring,post_event,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-07-27T01:36:05Z,2026-07-27T01:36:05Z,,81,O PIASTRI,McLaren,,10,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
