date,session_key,gap_to_leader,interval,meeting_key,driver_number,source_closure_retrieved_utc
2026-03-15T06:07:40.264000+00:00,11245,0.0,0.0,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T06:09:25.352000+00:00,11245,0.0,0.0,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T06:09:29.466000+00:00,11245,0.0,0.0,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:06.055000+00:00,11245,0.026,,1280,44,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:06.101000+00:00,11245,0.082,0.082,1280,63,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:06.147000+00:00,11245,0.13,0.104,1280,16,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:06.619000+00:00,11245,0.608,,1280,10,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.023000+00:00,11245,0.97,,1280,6,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.157000+00:00,11245,1.104,0.134,1280,87,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.431000+00:00,11245,1.321,,1280,43,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.595000+00:00,11245,0.0,0.0,1280,44,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.692000+00:00,11245,0.029,0.029,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.696000+00:00,11245,1.513,0.218,1280,31,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.716000+00:00,11245,0.082,0.053,1280,16,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.776000+00:00,11245,0.142,0.06,1280,63,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:07.806000+00:00,11245,1.651,0.138,1280,30,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.048000+00:00,11245,1.74,0.089,1280,41,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.063000+00:00,11245,1.78,,1280,55,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.094000+00:00,11245,0.497,0.355,1280,10,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.169000+00:00,11245,1.866,0.788,1280,27,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.355000+00:00,11245,1.913,0.133,1280,14,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.410000+00:00,11245,0.876,0.379,1280,6,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.511000+00:00,11245,1.946,,1280,3,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.586000+00:00,11245,2.009,0.096,1280,77,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.636000+00:00,11245,0.983,0.107,1280,87,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.641000+00:00,11245,2.202,,1280,11,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.657000+00:00,11245,2.382,0.373,1280,18,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.676000+00:00,11245,1.152,0.169,1280,43,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:08.934000+00:00,11245,1.382,0.23,1280,31,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.055000+00:00,11245,1.519,0.137,1280,30,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.123000+00:00,11245,1.605,0.086,1280,41,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.376000+00:00,11245,1.833,0.228,1280,14,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.391000+00:00,11245,1.882,0.049,1280,27,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.450000+00:00,11245,1.903,0.021,1280,77,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.474000+00:00,11245,1.662,0.057,1280,55,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.665000+00:00,11245,2.102,0.199,1280,11,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.676000+00:00,11245,2.111,0.009,1280,3,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:09.879000+00:00,11245,2.338,0.227,1280,18,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:10.155000+00:00,11245,0.171,0.171,1280,16,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:10.276000+00:00,11245,0.236,0.065,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:10.568000+00:00,11245,0.528,0.292,1280,63,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:10.708000+00:00,11245,0.663,0.135,1280,10,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:11.108000+00:00,11245,1.082,0.419,1280,6,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:11.400000+00:00,11245,1.349,0.267,1280,43,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:11.431000+00:00,11245,1.368,0.019,1280,87,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:11.694000+00:00,11245,1.687,0.319,1280,31,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:11.976000+00:00,11245,1.891,0.204,1280,30,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:12.022000+00:00,11245,1.911,0.02,1280,41,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:12.177000+00:00,11245,2.123,0.212,1280,55,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:12.347000+00:00,11245,2.293,0.17,1280,77,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:12.408000+00:00,11245,2.371,0.078,1280,14,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:12.472000+00:00,11245,2.388,0.017,1280,27,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:12.656000+00:00,11245,2.622,0.234,1280,11,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:12.721000+00:00,11245,2.695,0.073,1280,3,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:13.031000+00:00,11245,3.005,0.31,1280,18,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:15.312000+00:00,11245,0.296,0.296,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:15.390000+00:00,11245,0.368,0.072,1280,16,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:15.860000+00:00,11245,0.85,0.482,1280,63,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:16.234000+00:00,11245,1.179,0.329,1280,10,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:16.360000+00:00,11245,1.285,0.106,1280,6,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:16.559000+00:00,11245,1.528,0.243,1280,87,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:16.782000+00:00,11245,1.764,0.236,1280,43,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:17.122000+00:00,11245,2.108,0.344,1280,31,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:17.304000+00:00,11245,2.27,0.162,1280,41,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:17.409000+00:00,11245,2.373,0.103,1280,30,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:17.796000+00:00,11245,2.766,0.393,1280,55,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:18.058000+00:00,11245,3.045,0.279,1280,14,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:18.110000+00:00,11245,3.06,0.015,1280,77,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:18.158000+00:00,11245,3.144,0.084,1280,11,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:18.362000+00:00,11245,3.269,0.125,1280,27,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:18.564000+00:00,11245,3.533,0.264,1280,3,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:19.032000+00:00,11245,4.01,0.477,1280,18,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:21.331000+00:00,11245,0.811,0.811,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:21.540000+00:00,11245,0.969,0.158,1280,16,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:21.921000+00:00,11245,1.367,0.398,1280,63,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:22.434000+00:00,11245,1.825,0.458,1280,10,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:22.640000+00:00,11245,1.982,0.157,1280,87,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:22.886000+00:00,11245,2.046,0.064,1280,6,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:23.455000+00:00,11245,2.533,0.487,1280,43,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.111000+00:00,11245,2.918,,1280,41,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.157000+00:00,11245,2.905,0.372,1280,31,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.313000+00:00,11245,3.279,0.361,1280,30,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.549000+00:00,11245,3.434,0.155,1280,55,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.625000+00:00,11245,3.71,0.276,1280,14,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.704000+00:00,11245,0.75,0.75,1280,12,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.938000+00:00,11245,4.219,0.509,1280,77,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:24.954000+00:00,11245,0.923,0.173,1280,16,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:25.094000+00:00,11245,4.557,0.338,1280,27,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:25.297000+00:00,11245,4.778,0.221,1280,3,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:25.360000+00:00,11245,1.407,0.484,1280,63,2026-09-06T20:31:06.084227Z
2026-03-15T07:04:25.952000+00:00,11245,1.96,0.553,1280,10,2026-09-06T20:31:06.084227Z
