date,session_key,meeting_key,pit_duration,stop_duration,lane_duration,driver_number,lap_number,source_closure_retrieved_utc
2026-03-15T07:06:25.125000+00:00,11245,1280,23.062,2.7,23.062,6,1,2026-08-23T07:08:13.083441Z
2026-03-15T07:19:30.772000+00:00,11245,1280,22.721,2.5,22.721,30,9,2026-08-23T07:08:13.083441Z
2026-03-15T07:19:31.880000+00:00,11245,1280,23.678,3.4,23.678,3,9,2026-08-23T07:08:13.083441Z
2026-03-15T07:19:34.317000+00:00,11245,1280,23.106,3.1,23.106,55,9,2026-08-23T07:08:13.083441Z
2026-03-15T07:20:48.777000+00:00,11245,1280,23.005,2.9,23.005,12,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:20:56.454000+00:00,11245,1280,23.39,3.2,23.39,63,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:20:56.799000+00:00,11245,1280,22.433,2.4,22.433,44,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:21:02.954000+00:00,11245,1280,25.633,3.5,25.633,16,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:21:06.329000+00:00,11245,1280,23.539,2.8,23.539,10,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:21:23.314000+00:00,11245,1280,22.967,,22.967,87,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:21:49.224000+00:00,11245,1280,27.795,7.4,27.795,77,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:22:06.849000+00:00,11245,1280,25.748,5.7,25.748,6,10,2026-08-23T07:08:13.083441Z
2026-03-15T07:24:08.630000+00:00,11245,1280,26.213,5.5,26.213,11,11,2026-08-23T07:08:13.083441Z
2026-03-15T07:55:08.164000+00:00,11245,1280,25.997,5.7,25.997,31,29,2026-08-23T07:08:13.083441Z
2026-03-15T07:58:53.861000+00:00,11245,1280,23.291,2.8,23.291,14,31,2026-08-23T07:08:13.083441Z
2026-03-15T07:59:58.613000+00:00,11245,1280,23.195,2.6,23.195,43,32,2026-08-23T07:08:13.083441Z
2026-03-15T08:05:10.947000+00:00,11245,1280,37.358,16.1,37.358,27,35,2026-08-23T07:08:13.083441Z
2026-03-15T08:16:43.743000+00:00,11245,1280,23.29,2.9,23.29,41,42,2026-08-23T07:08:13.083441Z
2026-03-15T08:23:53.817000+00:00,11245,1280,47.067,26.9,47.067,31,46,2026-08-23T07:08:13.083441Z
2026-03-29T05:39:55.436000+00:00,11253,1281,23.316,2.5,23.316,1,16,2026-08-23T07:09:13.760383Z
2026-03-29T05:40:25.536000+00:00,11253,1281,25.0,,25.0,87,16,2026-08-23T07:09:13.760383Z
