event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,2,1,2.400225,0.168,0.288,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.9524,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,12,K ANTONELLI,Mercedes,1,2,2.61275,0.13284,0.25059,0.392,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,16,C LECLERC,Ferrari,4,3,4.6099,0.10505,0.21804,0.392,0.0614,0.4,1.0,0.0614,0.346,0.8571,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,63,G RUSSELL,Mercedes,3,4,5.81375,0.08306,0.18972,0.38948,0.0629,0.4,1.0,0.0629,0.357,0.9048,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,44,L HAMILTON,Ferrari,5,5,6.5879,0.06568,0.16508,0.38201,0.0614,0.4,1.0,0.0614,0.346,0.8095,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,34,J CRAWFORD,Aston Martin,,6,6.78975,0.05194,0.14364,0.36966,0.075,0.4,1.0,0.075,0.445,0.3333,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,5,G BORTOLETO,Audi,8,7,7.3723,0.04107,0.12498,0.34994,0.075,0.4,1.0,0.075,0.478,0.6667,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,81,O PIASTRI,McLaren,6,8,7.71805,0.03248,0.10875,0.32017,0.0599,0.4,1.0,0.0599,0.335,0.7619,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,1,L NORRIS,McLaren,13,9,8.68805,0.02568,0.09462,0.27882,0.0599,0.4,1.0,0.0599,0.335,0.4286,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,41,A LINDBLAD,Racing Bulls,7,10,8.9812,0.02031,0.08233,0.2276,0.0826,0.4,1.0,0.0826,0.5,0.7143,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,10,P GASLY,Alpine,10,11,9.3141,0.01606,0.07164,0.1724,0.0857,0.4,1.0,0.0857,0.522,0.5714,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,30,L LAWSON,Racing Bulls,9,12,9.7202,0.0127,0.06234,0.12118,0.0826,0.4,1.0,0.0826,0.5,0.619,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,97,P ARON,Audi,,13,10.0373,0.01004,0.05424,0.07983,0.075,0.4,1.0,0.075,0.478,-0.0952,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,27,N HULKENBERG,Audi,12,14,11.1443,0.00794,0.04719,0.05006,0.075,0.4,1.0,0.075,0.478,0.4762,2026-07-19T18:25:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
