date,session_key,driver_number,meeting_key,position
2026-09-25T12:08:05.719000+00:00,11373,11,1295,17
2026-09-25T12:08:05.719000+00:00,11373,23,1295,18
2026-09-25T12:08:05.719000+00:00,11373,30,1295,19
2026-09-25T12:08:05.719000+00:00,11373,41,1295,20
2026-09-25T12:08:05.719000+00:00,11373,14,1295,21
2026-09-25T12:08:05.719000+00:00,11373,77,1295,1
2026-09-25T12:08:08.582000+00:00,11373,3,1295,3
2026-09-25T12:08:08.582000+00:00,11373,63,1295,4
2026-09-25T12:08:08.582000+00:00,11373,44,1295,5
2026-09-25T12:08:08.582000+00:00,11373,12,1295,6
2026-09-25T12:08:08.582000+00:00,11373,16,1295,7
2026-09-25T12:08:08.582000+00:00,11373,10,1295,8
2026-09-25T12:08:08.582000+00:00,11373,81,1295,9
2026-09-25T12:08:08.582000+00:00,11373,1,1295,10
2026-09-25T12:08:08.582000+00:00,11373,6,1295,11
2026-09-25T12:08:08.582000+00:00,11373,43,1295,1
2026-09-25T12:08:08.582000+00:00,11373,77,1295,2
2026-09-25T12:08:10.454000+00:00,11373,3,1295,4
2026-09-25T12:08:10.454000+00:00,11373,63,1295,5
2026-09-25T12:08:10.454000+00:00,11373,44,1295,6
2026-09-25T12:08:10.454000+00:00,11373,12,1295,7
2026-09-25T12:08:10.454000+00:00,11373,16,1295,8
2026-09-25T12:08:10.454000+00:00,11373,10,1295,9
2026-09-25T12:08:10.454000+00:00,11373,81,1295,10
2026-09-25T12:08:10.454000+00:00,11373,1,1295,11
2026-09-25T12:08:10.454000+00:00,11373,6,1295,12
2026-09-25T12:08:10.454000+00:00,11373,43,1295,2
2026-09-25T12:08:10.454000+00:00,11373,55,1295,13
2026-09-25T12:08:10.454000+00:00,11373,87,1295,14
2026-09-25T12:08:10.454000+00:00,11373,5,1295,15
2026-09-25T12:08:10.454000+00:00,11373,31,1295,16
2026-09-25T12:08:10.454000+00:00,11373,27,1295,17
2026-09-25T12:08:10.454000+00:00,11373,11,1295,1
2026-09-25T12:08:10.454000+00:00,11373,77,1295,3
2026-09-25T12:08:24.014000+00:00,11373,3,1295,5
2026-09-25T12:08:24.014000+00:00,11373,63,1295,6
2026-09-25T12:08:24.014000+00:00,11373,44,1295,7
2026-09-25T12:08:24.014000+00:00,11373,12,1295,8
2026-09-25T12:08:24.014000+00:00,11373,16,1295,9
2026-09-25T12:08:24.014000+00:00,11373,10,1295,3
2026-09-25T12:08:24.014000+00:00,11373,77,1295,4
2026-09-25T12:08:27.351000+00:00,11373,3,1295,6
2026-09-25T12:08:27.351000+00:00,11373,63,1295,7
2026-09-25T12:08:27.351000+00:00,11373,44,1295,8
2026-09-25T12:08:27.351000+00:00,11373,12,1295,9
2026-09-25T12:08:27.351000+00:00,11373,16,1295,10
2026-09-25T12:08:27.351000+00:00,11373,10,1295,4
2026-09-25T12:08:27.351000+00:00,11373,81,1295,11
2026-09-25T12:08:27.351000+00:00,11373,1,1295,12
2026-09-25T12:08:27.351000+00:00,11373,6,1295,13
2026-09-25T12:08:27.351000+00:00,11373,55,1295,14
2026-09-25T12:08:27.351000+00:00,11373,87,1295,3
2026-09-25T12:08:27.351000+00:00,11373,77,1295,5
2026-09-25T12:08:30.502000+00:00,11373,3,1295,7
2026-09-25T12:08:30.502000+00:00,11373,63,1295,8
2026-09-25T12:08:30.502000+00:00,11373,44,1295,9
2026-09-25T12:08:30.502000+00:00,11373,12,1295,10
2026-09-25T12:08:30.502000+00:00,11373,16,1295,11
2026-09-25T12:08:30.502000+00:00,11373,81,1295,12
2026-09-25T12:08:30.502000+00:00,11373,1,1295,13
2026-09-25T12:08:30.502000+00:00,11373,6,1295,14
2026-09-25T12:08:30.502000+00:00,11373,55,1295,15
2026-09-25T12:08:30.502000+00:00,11373,5,1295,16
2026-09-25T12:08:30.502000+00:00,11373,31,1295,17
2026-09-25T12:08:30.502000+00:00,11373,27,1295,18
2026-09-25T12:08:30.502000+00:00,11373,23,1295,19
2026-09-25T12:08:30.502000+00:00,11373,30,1295,20
2026-09-25T12:08:30.502000+00:00,11373,41,1295,21
2026-09-25T12:08:30.502000+00:00,11373,14,1295,6
2026-09-25T12:08:33.991000+00:00,11373,3,1295,8
2026-09-25T12:08:33.991000+00:00,11373,63,1295,9
2026-09-25T12:08:33.991000+00:00,11373,44,1295,10
2026-09-25T12:08:33.991000+00:00,11373,12,1295,11
2026-09-25T12:08:33.991000+00:00,11373,16,1295,12
2026-09-25T12:08:33.991000+00:00,11373,81,1295,13
2026-09-25T12:08:33.991000+00:00,11373,1,1295,14
2026-09-25T12:08:33.991000+00:00,11373,6,1295,15
2026-09-25T12:08:33.991000+00:00,11373,55,1295,16
2026-09-25T12:08:33.991000+00:00,11373,5,1295,17
2026-09-25T12:08:33.991000+00:00,11373,31,1295,18
2026-09-25T12:08:33.991000+00:00,11373,27,1295,7
2026-09-25T12:08:37.048000+00:00,11373,3,1295,9
2026-09-25T12:08:37.048000+00:00,11373,63,1295,10
2026-09-25T12:08:37.048000+00:00,11373,44,1295,11
2026-09-25T12:08:37.048000+00:00,11373,12,1295,12
2026-09-25T12:08:37.048000+00:00,11373,16,1295,13
2026-09-25T12:08:37.048000+00:00,11373,81,1295,14
2026-09-25T12:08:37.048000+00:00,11373,1,1295,15
2026-09-25T12:08:37.048000+00:00,11373,6,1295,16
2026-09-25T12:08:37.048000+00:00,11373,55,1295,17
2026-09-25T12:08:37.048000+00:00,11373,5,1295,18
2026-09-25T12:08:37.048000+00:00,11373,31,1295,8
2026-09-25T12:08:40.655000+00:00,11373,3,1295,10
2026-09-25T12:08:40.655000+00:00,11373,63,1295,11
2026-09-25T12:08:40.655000+00:00,11373,44,1295,12
2026-09-25T12:08:40.655000+00:00,11373,12,1295,13
2026-09-25T12:08:40.655000+00:00,11373,16,1295,14
2026-09-25T12:08:40.655000+00:00,11373,81,1295,15
2026-09-25T12:08:40.655000+00:00,11373,1,1295,16
2026-09-25T12:08:40.655000+00:00,11373,6,1295,17
2026-09-25T12:08:40.655000+00:00,11373,55,1295,18
2026-09-25T12:08:40.655000+00:00,11373,5,1295,8
2026-09-25T12:08:40.655000+00:00,11373,31,1295,9
2026-09-25T12:08:44.650000+00:00,11373,3,1295,11
2026-09-25T12:08:44.650000+00:00,11373,63,1295,12
2026-09-25T12:08:44.650000+00:00,11373,44,1295,13
2026-09-25T12:08:44.650000+00:00,11373,12,1295,14
2026-09-25T12:08:44.650000+00:00,11373,16,1295,15
2026-09-25T12:08:44.650000+00:00,11373,10,1295,5
2026-09-25T12:08:44.650000+00:00,11373,81,1295,16
2026-09-25T12:08:44.650000+00:00,11373,1,1295,17
2026-09-25T12:08:44.650000+00:00,11373,6,1295,18
2026-09-25T12:08:44.650000+00:00,11373,55,1295,19
2026-09-25T12:08:44.650000+00:00,11373,87,1295,4
2026-09-25T12:08:44.650000+00:00,11373,5,1295,9
2026-09-25T12:08:44.650000+00:00,11373,31,1295,10
2026-09-25T12:08:44.650000+00:00,11373,27,1295,8
2026-09-25T12:08:44.650000+00:00,11373,23,1295,20
2026-09-25T12:08:44.650000+00:00,11373,30,1295,21
2026-09-25T12:08:44.650000+00:00,11373,41,1295,3
2026-09-25T12:08:44.650000+00:00,11373,14,1295,7
2026-09-25T12:08:44.650000+00:00,11373,77,1295,6
2026-09-25T12:08:53.493000+00:00,11373,3,1295,12
2026-09-25T12:08:53.493000+00:00,11373,63,1295,13
2026-09-25T12:08:53.493000+00:00,11373,44,1295,14
2026-09-25T12:08:53.493000+00:00,11373,12,1295,15
2026-09-25T12:08:53.493000+00:00,11373,16,1295,16
2026-09-25T12:08:53.493000+00:00,11373,10,1295,6
2026-09-25T12:08:53.493000+00:00,11373,81,1295,17
2026-09-25T12:08:53.493000+00:00,11373,1,1295,18
2026-09-25T12:08:53.493000+00:00,11373,6,1295,19
2026-09-25T12:08:53.493000+00:00,11373,55,1295,20
2026-09-25T12:08:53.493000+00:00,11373,87,1295,5
2026-09-25T12:08:53.493000+00:00,11373,5,1295,10
2026-09-25T12:08:53.493000+00:00,11373,31,1295,11
2026-09-25T12:08:53.493000+00:00,11373,27,1295,9
2026-09-25T12:08:53.493000+00:00,11373,23,1295,21
2026-09-25T12:08:53.493000+00:00,11373,30,1295,4
2026-09-25T12:08:53.493000+00:00,11373,14,1295,8
2026-09-25T12:08:53.493000+00:00,11373,77,1295,7
2026-09-25T12:09:04.848000+00:00,11373,3,1295,11
2026-09-25T12:09:04.848000+00:00,11373,31,1295,12
2026-09-25T12:09:16.769000+00:00,11373,3,1295,10
2026-09-25T12:09:16.769000+00:00,11373,63,1295,12
2026-09-25T12:09:16.769000+00:00,11373,44,1295,13
2026-09-25T12:09:16.769000+00:00,11373,12,1295,14
2026-09-25T12:09:16.769000+00:00,11373,16,1295,15
2026-09-25T12:09:16.769000+00:00,11373,10,1295,5
2026-09-25T12:09:16.769000+00:00,11373,81,1295,16
2026-09-25T12:09:16.769000+00:00,11373,1,1295,17
2026-09-25T12:09:16.769000+00:00,11373,6,1295,18
2026-09-25T12:09:16.769000+00:00,11373,55,1295,19
2026-09-25T12:09:16.769000+00:00,11373,87,1295,4
2026-09-25T12:09:16.769000+00:00,11373,5,1295,9
2026-09-25T12:09:16.769000+00:00,11373,31,1295,11
2026-09-25T12:09:16.769000+00:00,11373,27,1295,8
2026-09-25T12:09:16.769000+00:00,11373,23,1295,20
2026-09-25T12:09:16.769000+00:00,11373,30,1295,21
2026-09-25T12:09:16.769000+00:00,11373,14,1295,7
2026-09-25T12:09:16.769000+00:00,11373,77,1295,6
2026-09-25T12:09:17.492000+00:00,11373,63,1295,13
2026-09-25T12:09:17.492000+00:00,11373,44,1295,14
2026-09-25T12:09:17.492000+00:00,11373,12,1295,12
