bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,3,M VERSTAPPEN,Red Bull Racing,,1,,0.0621,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,12,K ANTONELLI,Mercedes,,2,,0.0629,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,16,C LECLERC,Ferrari,,3,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,63,G RUSSELL,Mercedes,,4,,0.0629,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,44,L HAMILTON,Ferrari,,5,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,34,J CRAWFORD,Aston Martin,,6,,0.075,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,5,G BORTOLETO,Audi,,7,,0.075,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,81,O PIASTRI,McLaren,,8,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,1,L NORRIS,McLaren,,9,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1290_belgium_spa_francorchamps_spa_francorchamps__post_event__stable_baseline__20260719T182549Z,locked,2026_1290_belgium_spa_francorchamps_spa_francorchamps,2026,,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-07-19T18:25:49Z,2026-07-19T18:25:49Z,,41,A LINDBLAD,Racing Bulls,,10,,0.0826,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
