event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,1,L NORRIS,McLaren,1,1,1.497634,0.168,0.288,0.392,0.0599,0.4,1.0,0.0599,0.335,1.0,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,12,K ANTONELLI,Mercedes,3,2,3.822814,0.14264,0.26138,0.392,0.0629,0.4,1.0,0.0629,0.357,0.9091,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,6,I HADJAR,Red Bull Racing,5,3,4.513161,0.12111,0.23723,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.8182,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,7,4,5.410161,0.10283,0.2153,0.38948,0.0621,0.4,1.0,0.0621,0.3515,0.7273,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,16,C LECLERC,Ferrari,6,5,5.819724,0.08731,0.19541,0.38201,0.0614,0.4,1.0,0.0614,0.346,0.7727,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,63,G RUSSELL,Mercedes,2,6,6.273814,0.07413,0.17735,0.36966,0.0629,0.4,1.0,0.0629,0.357,0.9545,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,25,C HERTA,Cadillac,,7,6.4443,0.06294,0.16096,0.34994,0.075,0.4,1.0,0.075,0.478,0.4545,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,36,A IWASA,Red Bull Racing,,8,6.883161,0.05344,0.14608,0.32017,0.0621,0.4,1.0,0.0621,0.3515,0.2273,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,38,D BEGANOVIC,Ferrari,,9,7.161724,0.04537,0.13258,0.27882,0.0614,0.4,1.0,0.0614,0.346,0.1818,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,44,L HAMILTON,Ferrari,5,10,7.197724,0.03852,0.12033,0.2276,0.0614,0.4,1.0,0.0614,0.346,0.8182,2026-08-23T20:49:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
