position,driver_number,lap_duration,meeting_key,session_key,source_closure_retrieved_utc
1,12,87.798,1284,11276,2026-08-22T17:35:14.419344Z
2,3,87.964,1284,11276,2026-08-22T17:35:14.419344Z
3,16,88.143,1284,11276,2026-08-22T17:35:14.419344Z
4,1,88.183,1284,11276,2026-08-22T17:35:14.419344Z
5,63,88.197,1284,11276,2026-08-22T17:35:14.419344Z
6,44,88.319,1284,11276,2026-08-22T17:35:14.419344Z
7,81,88.5,1284,11276,2026-08-22T17:35:14.419344Z
8,43,88.762,1284,11276,2026-08-22T17:35:14.419344Z
9,10,88.81,1284,11276,2026-08-22T17:35:14.419344Z
10,27,89.439,1284,11276,2026-08-22T17:35:14.419344Z
11,30,89.499,1284,11276,2026-08-22T17:35:14.419344Z
12,87,89.567,1284,11276,2026-08-22T17:35:14.419344Z
13,55,89.568,1284,11276,2026-08-22T17:35:14.419344Z
14,31,89.772,1284,11276,2026-08-22T17:35:14.419344Z
15,23,89.946,1284,11276,2026-08-22T17:35:14.419344Z
16,41,90.133,1284,11276,2026-08-22T17:35:14.419344Z
17,14,91.098,1284,11276,2026-08-22T17:35:14.419344Z
18,18,91.164,1284,11276,2026-08-22T17:35:14.419344Z
19,77,91.629,1284,11276,2026-08-22T17:35:14.419344Z
20,11,91.967,1284,11276,2026-08-22T17:35:14.419344Z
21,5,93.737,1284,11276,2026-08-22T17:35:14.419344Z
22,6,,1284,11276,2026-08-22T17:35:14.419344Z
