meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message,source_closure_retrieved_utc
1304,11465,2026-02-11T06:58:39+00:00,,,Other,,,,,PINK HEAD PADDING MATERIAL MUST BE USED,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T07:00:01.848000+00:00,,,SessionStatus,,,,,SESSION STARTED,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T07:00:02+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:19:13+00:00,,,Flag,YELLOW,Sector,10.0,,YELLOW IN TRACK SECTOR 10,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:19:19+00:00,,,Flag,CLEAR,Sector,10.0,,CLEAR IN TRACK SECTOR 10,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:31:09+00:00,,,Flag,YELLOW,Sector,2.0,,YELLOW IN TRACK SECTOR 2,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:31:12+00:00,,,Flag,DOUBLE YELLOW,Sector,2.0,,DOUBLE YELLOW IN TRACK SECTOR 2,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:31:15+00:00,,,Flag,YELLOW,Sector,1.0,,YELLOW IN TRACK SECTOR 1,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:31:16+00:00,,,Flag,CLEAR,Sector,2.0,,CLEAR IN TRACK SECTOR 2,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:31:18+00:00,,,Flag,CLEAR,Sector,1.0,,CLEAR IN TRACK SECTOR 1,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:35:46+00:00,,,Flag,DOUBLE YELLOW,Sector,7.0,,DOUBLE YELLOW IN TRACK SECTOR 7,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:35:47+00:00,,,Flag,YELLOW,Sector,7.0,,YELLOW IN TRACK SECTOR 7,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:35:52+00:00,,,Flag,YELLOW,Sector,6.0,,YELLOW IN TRACK SECTOR 6,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:36:17+00:00,,,Flag,DOUBLE YELLOW,Sector,7.0,,DOUBLE YELLOW IN TRACK SECTOR 7,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:36:33+00:00,,,Flag,YELLOW,Sector,7.0,,YELLOW IN TRACK SECTOR 7,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:36:38+00:00,,,Flag,CLEAR,Sector,6.0,,CLEAR IN TRACK SECTOR 6,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:37:17.625000+00:00,,,SessionStatus,,,,,SESSION ABORTED,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:37:18+00:00,,,Flag,RED,Track,,,RED FLAG,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:37:18+00:00,,,Flag,CLEAR,Sector,7.0,,CLEAR IN TRACK SECTOR 7,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:38:41+00:00,,,Flag,CLEAR,Track,,,TRACK CLEAR,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:38:43+00:00,,,Other,,,,,OVERTAKE ENABLED,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:42:15+00:00,,,Other,,,,,SESSION WILL RESUME AT 11:43,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:43:00.125000+00:00,,,SessionStatus,,,,,SESSION STARTED,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:43:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:57:08+00:00,,,Flag,YELLOW,Sector,2.0,,YELLOW IN TRACK SECTOR 2,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T08:57:10+00:00,,,Flag,CLEAR,Sector,2.0,,CLEAR IN TRACK SECTOR 2,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T09:03:10+00:00,,,Flag,YELLOW,Sector,10.0,,YELLOW IN TRACK SECTOR 10,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T09:03:14+00:00,,,Flag,CLEAR,Sector,10.0,,CLEAR IN TRACK SECTOR 10,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T09:14:28+00:00,,,Other,,,,,YELLOW IN PIT LANE,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T09:18:41+00:00,,,Other,,,,,PIT LANE ENTRY OPEN,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T11:00:00.102000+00:00,,,SessionStatus,,,,,SESSION FINISHED,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T11:00:18+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T11:03:21+00:00,,,Flag,DOUBLE YELLOW,Sector,1.0,,DOUBLE YELLOW IN TRACK SECTOR 1,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T11:03:26+00:00,,,Flag,CLEAR,Sector,1.0,,CLEAR IN TRACK SECTOR 1,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T12:00:00.072000+00:00,,,SessionStatus,,,,,SESSION STARTED,2026-08-15T13:01:57.789826Z
1304,11465,2026-02-11T12:00:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN,2026-08-15T13:01:57.789826Z
