event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,1,L NORRIS,McLaren,1,1,1.53433,0.3528,0.6048,0.8232,0.063,0.84,1.0,0.063,0.335,1.0,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,12,K ANTONELLI,Mercedes,3,2,3.623942,0.29092,0.53948,0.8232,0.0662,0.84,1.0,0.0662,0.357,0.9091,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,63,G RUSSELL,Mercedes,2,3,4.754942,0.23989,0.48122,0.8232,0.0662,0.84,1.0,0.0662,0.357,0.9545,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,7,4,5.535289,0.19781,0.42925,0.8179,0.0654,0.84,1.0,0.0654,0.3515,0.7273,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,16,C LECLERC,Ferrari,6,5,5.568636,0.16312,0.38289,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.7727,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,38,D BEGANOVIC,Ferrari,,6,5.730636,0.13451,0.34154,0.77628,0.0646,0.84,1.0,0.0646,0.346,0.2727,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,81,O PIASTRI,McLaren,4,7,5.97433,0.11091,0.30466,0.73487,0.063,0.84,1.0,0.063,0.335,0.8636,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,44,L HAMILTON,Ferrari,5,8,6.076636,0.09146,0.27175,0.67235,0.0646,0.84,1.0,0.0646,0.346,0.8182,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,6,I HADJAR,Red Bull Racing,8,9,6.358289,0.07542,0.24241,0.58553,0.0654,0.84,1.0,0.0654,0.3515,0.6818,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,34,J CRAWFORD,Aston Martin,,10,6.52039,0.06219,0.21623,0.47796,0.079,0.84,1.0,0.079,0.445,0.3182,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,30,L LAWSON,Red Bull Racing,8,11,7.382289,0.05128,0.19287,0.36204,0.0654,0.84,1.0,0.0654,0.3515,0.6818,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,46,L BROWNING,Williams,,12,8.171002,0.04229,0.17204,0.25447,0.0822,0.84,1.0,0.0822,0.467,0.0909,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,experimental_challenger,5,G BORTOLETO,Audi,9,13,8.23894,0.03487,0.15346,0.16765,0.079,0.84,1.0,0.079,0.478,0.6364,2026-08-22T23:27:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
