lane,meeting_key,session_key,session_name,session_type,applicable,rows,status
weather,1304,11465,Day 1,Practice,True,540,pass
race_control,1304,11465,Day 1,Practice,True,56,pass
intervals,1304,11465,Day 1,Practice,True,0,zero_rows
position,1304,11465,Day 1,Practice,True,415,pass
stints,1304,11465,Day 1,Practice,True,207,pass
pit,1304,11465,Day 1,Practice,False,0,skipped_not_applicable
starting_grid,1304,11465,Day 1,Practice,True,0,zero_rows
drivers,1304,11465,Day 1,Practice,True,22,pass
team_radio,1304,11465,Day 1,Practice,True,0,zero_rows
weather,1304,11466,Day 2,Practice,True,484,pass
race_control,1304,11466,Day 2,Practice,True,67,pass
intervals,1304,11466,Day 2,Practice,True,0,zero_rows
position,1304,11466,Day 2,Practice,True,280,pass
stints,1304,11466,Day 2,Practice,True,233,pass
pit,1304,11466,Day 2,Practice,False,0,skipped_not_applicable
starting_grid,1304,11466,Day 2,Practice,True,0,zero_rows
drivers,1304,11466,Day 2,Practice,True,22,pass
team_radio,1304,11466,Day 2,Practice,True,0,zero_rows
weather,1304,11467,Day 3,Practice,True,528,pass
race_control,1304,11467,Day 3,Practice,True,109,pass
intervals,1304,11467,Day 3,Practice,True,0,zero_rows
position,1304,11467,Day 3,Practice,True,216,pass
stints,1304,11467,Day 3,Practice,True,211,pass
pit,1304,11467,Day 3,Practice,False,0,skipped_not_applicable
starting_grid,1304,11467,Day 3,Practice,True,0,zero_rows
drivers,1304,11467,Day 3,Practice,True,22,pass
team_radio,1304,11467,Day 3,Practice,True,1,pass
weather,1305,11470,Day 1,Practice,True,517,pass
race_control,1305,11470,Day 1,Practice,True,57,pass
intervals,1305,11470,Day 1,Practice,True,0,zero_rows
position,1305,11470,Day 1,Practice,True,429,pass
stints,1305,11470,Day 1,Practice,True,243,pass
pit,1305,11470,Day 1,Practice,False,0,skipped_not_applicable
starting_grid,1305,11470,Day 1,Practice,True,0,zero_rows
drivers,1305,11470,Day 1,Practice,True,0,zero_rows
team_radio,1305,11470,Day 1,Practice,True,0,zero_rows
weather,1305,11469,Day 2,Practice,True,0,zero_rows
race_control,1305,11469,Day 2,Practice,True,0,zero_rows
intervals,1305,11469,Day 2,Practice,True,0,zero_rows
position,1305,11469,Day 2,Practice,True,0,zero_rows
stints,1305,11469,Day 2,Practice,True,0,zero_rows
pit,1305,11469,Day 2,Practice,False,0,skipped_not_applicable
starting_grid,1305,11469,Day 2,Practice,True,0,zero_rows
drivers,1305,11469,Day 2,Practice,True,10,pass
team_radio,1305,11469,Day 2,Practice,True,0,zero_rows
weather,1305,11468,Day 3,Practice,True,559,pass
race_control,1305,11468,Day 3,Practice,True,46,pass
intervals,1305,11468,Day 3,Practice,True,0,zero_rows
position,1305,11468,Day 3,Practice,True,341,pass
stints,1305,11468,Day 3,Practice,True,290,pass
