event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,1,L NORRIS,McLaren,1,1,1.53055,0.3528,0.6048,0.8232,0.063,0.84,1.0,0.063,0.335,1.0,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,12,K ANTONELLI,Mercedes,3,2,3.61997,0.27601,0.52293,0.8232,0.0662,0.84,1.0,0.0662,0.357,0.9091,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,63,G RUSSELL,Mercedes,2,3,4.35097,0.21594,0.45214,0.8232,0.0662,0.84,1.0,0.0662,0.357,0.9545,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,7,4,5.531365,0.16894,0.39093,0.8179,0.0654,0.84,1.0,0.0654,0.3515,0.7273,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,16,C LECLERC,Ferrari,6,5,5.56476,0.13217,0.33801,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.7727,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,81,O PIASTRI,McLaren,4,6,5.57055,0.1034,0.29225,0.77628,0.063,0.84,1.0,0.063,0.335,0.8636,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,44,L HAMILTON,Ferrari,5,7,5.87276,0.0809,0.25269,0.73487,0.0646,0.84,1.0,0.0646,0.346,0.8182,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,6,I HADJAR,Red Bull Racing,8,8,6.354365,0.06329,0.21848,0.67235,0.0654,0.84,1.0,0.0654,0.3515,0.6818,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,30,L LAWSON,Red Bull Racing,8,9,7.378365,0.04951,0.18891,0.58553,0.0654,0.84,1.0,0.0654,0.3515,0.6818,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,control_room_overlay,5,G BORTOLETO,Audi,9,10,8.2342,0.03874,0.16334,0.47796,0.079,0.84,1.0,0.079,0.478,0.6364,2026-08-23T06:08:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
