date,session_key,meeting_key,gap_to_leader,interval,driver_number,source_closure_retrieved_utc
2026-05-02T15:19:43.223000+00:00,11275,1284,0.0,0.0,1,2026-07-18T12:45:02.929092Z
2026-05-02T15:20:31.942000+00:00,11275,1284,0.0,0.0,1,2026-07-18T12:45:02.929092Z
2026-05-02T15:20:36.176000+00:00,11275,1284,0.0,0.0,1,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:55.831000+00:00,11275,1284,0.276,,81,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:55.919000+00:00,11275,1284,0.444,0.168,16,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:56.202000+00:00,11275,1284,0.723,,63,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:56.262000+00:00,11275,1284,0.778,0.778,12,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:56.592000+00:00,11275,1284,1.084,0.64,3,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:56.686000+00:00,11275,1284,1.161,,43,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:56.918000+00:00,11275,1284,1.239,0.516,44,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:56.946000+00:00,11275,1284,1.421,,10,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:57.286000+00:00,11275,1284,1.81,0.649,6,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:57.885000+00:00,11275,1284,2.205,,87,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:57.961000+00:00,11275,1284,2.262,0.841,5,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:58.021000+00:00,11275,1284,2.289,0.084,55,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:58.169000+00:00,11275,1284,2.403,0.114,30,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:58.286000+00:00,11275,1284,2.517,0.114,31,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:58.334000+00:00,11275,1284,0.331,0.331,81,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:58.362000+00:00,11275,1284,2.589,,77,2026-07-18T12:45:02.929092Z
2026-05-02T16:03:58.362000+00:00,11275,1284,2.585,0.068,11,2026-07-18T12:45:02.929092Z
