bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,1,L NORRIS,McLaren,,1,,0.063,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,3,M VERSTAPPEN,Red Bull Racing,,2,,0.0654,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,6,I HADJAR,Red Bull Racing,,3,,0.0654,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,16,C LECLERC,Ferrari,,4,,0.0646,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,12,K ANTONELLI,Mercedes,,5,,0.0662,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,36,A IWASA,Red Bull Racing,,6,,0.0654,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,5,G BORTOLETO,Audi,,7,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,38,D BEGANOVIC,Ferrari,,8,,0.0646,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,30,L LAWSON,Red Bull Racing,,9,,0.0654,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1294_spain_madrid_madring__pre_weekend__experimental_challenger__20260911T044425Z,locked,2026_1294_spain_madrid_madring,2026,,Spain - Madrid - Madring,pre_weekend,experimental_challenger,Integrated_Recalibrated_Specialist_Challenger,2026-09-11T04:44:25Z,2026-09-11T04:44:25Z,,14,F ALONSO,Aston Martin,,10,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
