event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,12,K ANTONELLI,Mercedes,1,1,2.622814,0.21,0.36,0.49,0.0629,0.5,1.0,0.0629,0.357,1.0,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,16,C LECLERC,Ferrari,2,2,3.419724,0.17739,0.32574,0.49,0.0614,0.5,1.0,0.0614,0.346,0.9524,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,1,L NORRIS,McLaren,6,3,4.497634,0.14985,0.29474,0.49,0.0599,0.5,1.0,0.0599,0.335,0.7619,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,6,I HADJAR,Red Bull Racing,5,4,4.513161,0.12658,0.26669,0.48684,0.0621,0.5,1.0,0.0621,0.3515,0.8095,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,7,5,5.410161,0.10692,0.24132,0.47751,0.0621,0.5,1.0,0.0621,0.3515,0.7143,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,44,L HAMILTON,Ferrari,3,6,5.997724,0.09032,0.21835,0.46207,0.0614,0.5,1.0,0.0614,0.346,0.9048,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,22,Y TSUNODA,Racing Bulls,,7,6.005416,0.0763,0.19757,0.43742,0.0826,0.5,1.0,0.0826,0.5,0.5238,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,25,C HERTA,Cadillac,,8,6.4443,0.06445,0.17877,0.40021,0.075,0.5,1.0,0.075,0.478,0.4286,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,36,A IWASA,Red Bull Racing,,9,6.883161,0.05444,0.16176,0.34853,0.0621,0.5,1.0,0.0621,0.3515,0.1905,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,38,D BEGANOVIC,Ferrari,,10,7.161724,0.04599,0.14637,0.2845,0.0614,0.5,1.0,0.0614,0.346,0.1429,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,34,J CRAWFORD,Aston Martin,,11,7.46175,0.03885,0.13244,0.2155,0.075,0.5,1.0,0.075,0.445,0.2381,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,63,G RUSSELL,Mercedes,4,12,7.473814,0.03281,0.11983,0.15147,0.0629,0.5,1.0,0.0629,0.357,0.8571,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,5,G BORTOLETO,Audi,11,13,9.1843,0.02772,0.10843,0.09979,0.075,0.5,1.0,0.075,0.478,0.5238,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,30,L LAWSON,Red Bull Racing,10,14,9.187161,0.02341,0.09811,0.06258,0.0621,0.5,1.0,0.0621,0.3515,0.5714,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,46,L BROWNING,Williams,,15,9.668146,0.01978,0.08877,0.03793,0.0781,0.5,1.0,0.0781,0.467,-0.0476,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,67,L FORNAROLI,McLaren,,16,10.053634,0.01671,0.08033,0.02249,0.0599,0.5,1.0,0.0599,0.335,-0.2857,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,50,R HIRAKAWA,Haas F1 Team,,17,10.216326,0.01411,0.07268,0.015,0.0811,0.5,1.0,0.0811,0.489,-0.0952,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,81,O PIASTRI,McLaren,8,18,10.277634,0.01192,0.06577,0.015,0.0599,0.5,1.0,0.0599,0.335,0.6667,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,72,F VESTI,Mercedes,,19,10.602814,0.01007,0.05951,0.015,0.0629,0.5,1.0,0.0629,0.357,-0.3333,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,41,A LINDBLAD,Racing Bulls,9,20,10.794416,0.00851,0.05384,0.015,0.0826,0.5,1.0,0.0826,0.5,0.619,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,61,P ARON,Alpine,,21,11.208812,0.00719,0.04872,0.015,0.0857,0.5,1.0,0.0857,0.522,-0.1905,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,27,N HULKENBERG,Audi,12,22,11.4563,0.00607,0.04408,0.015,0.075,0.5,1.0,0.075,0.478,0.4762,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,10,P GASLY,Alpine,15,23,12.327812,0.00513,0.03989,0.015,0.0857,0.5,1.0,0.0857,0.522,0.3333,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,97,P ARON,Audi,,24,13.0193,0.00433,0.03609,0.015,0.075,0.5,1.0,0.075,0.478,-0.5238,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,23,A ALBON,Williams,16,25,13.455146,0.00366,0.03266,0.015,0.0781,0.5,1.0,0.0781,0.467,0.2857,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,55,C SAINZ,Williams,14,26,14.237146,0.00309,0.02955,0.015,0.0781,0.5,1.0,0.0781,0.467,0.381,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,31,E OCON,Haas F1 Team,17,27,14.877326,0.00261,0.02674,0.015,0.0811,0.5,1.0,0.0811,0.489,0.2381,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,87,O BEARMAN,Haas F1 Team,13,28,14.933326,0.00221,0.02419,0.015,0.0811,0.5,1.0,0.0811,0.489,0.4286,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,11,S PEREZ,Cadillac,20,29,15.0403,0.00186,0.02189,0.015,0.075,0.5,1.0,0.075,0.478,0.0952,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,14,F ALONSO,Aston Martin,21,30,15.63175,0.00157,0.01981,0.015,0.075,0.5,1.0,0.075,0.445,0.0476,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,18,L STROLL,Aston Martin,22,31,16.53575,0.00133,0.01792,0.015,0.075,0.5,1.0,0.075,0.445,0.0,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,43,F COLAPINTO,Alpine,19,32,17.160812,0.00112,0.01622,0.015,0.0857,0.5,1.0,0.0857,0.522,0.1429,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,race_result,experimental_challenger,77,V BOTTAS,Cadillac,18,33,17.5063,0.001,0.01467,0.015,0.075,0.5,1.0,0.075,0.478,0.1905,2026-09-06T16:50:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
