event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,12,K ANTONELLI,Mercedes,1,1,2.61904,0.168,0.288,0.392,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,1,L NORRIS,McLaren,5,2,3.89404,0.13755,0.25581,0.392,0.0599,0.4,1.0,0.0599,0.335,0.8095,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,16,C LECLERC,Ferrari,4,3,4.61604,0.11261,0.22722,0.392,0.0614,0.4,1.0,0.0614,0.346,0.8571,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,63,G RUSSELL,Mercedes,2,4,5.52004,0.0922,0.20183,0.38948,0.0629,0.4,1.0,0.0629,0.357,0.9524,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,25,C HERTA,Cadillac,,5,6.1098,0.07549,0.17927,0.38201,0.075,0.4,1.0,0.075,0.478,0.4762,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,36,A IWASA,Red Bull Racing,,6,6.219435,0.0618,0.15923,0.36966,0.0621,0.4,1.0,0.0621,0.3515,0.2857,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,6,I HADJAR,Red Bull Racing,8,7,6.309435,0.0506,0.14144,0.34994,0.0621,0.4,1.0,0.0621,0.3515,0.6667,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,38,D BEGANOVIC,Ferrari,,8,6.49804,0.04143,0.12563,0.32017,0.0614,0.4,1.0,0.0614,0.346,0.2381,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,81,O PIASTRI,McLaren,3,9,6.52404,0.03392,0.11159,0.27882,0.0599,0.4,1.0,0.0599,0.335,0.9048,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,control_room_overlay,44,L HAMILTON,Ferrari,6,10,7.49404,0.02777,0.09912,0.2276,0.0614,0.4,1.0,0.0614,0.346,0.7619,2026-07-19T21:42:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
