event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,1,L NORRIS,McLaren,2,1,2.097634,0.168,0.288,0.392,0.0599,0.4,1.0,0.0599,0.335,0.9545,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,16,C LECLERC,Ferrari,3,2,4.019724,0.14033,0.25886,0.392,0.0614,0.4,1.0,0.0614,0.346,0.9091,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,6,3,4.810161,0.11721,0.23267,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.7727,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,12,K ANTONELLI,Mercedes,5,4,5.022814,0.0979,0.20913,0.38948,0.0629,0.4,1.0,0.0629,0.357,0.8182,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,63,G RUSSELL,Mercedes,1,5,5.373814,0.08177,0.18797,0.38201,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,25,C HERTA,Cadillac,,6,6.4443,0.0683,0.16895,0.36966,0.075,0.4,1.0,0.075,0.478,0.4545,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,36,A IWASA,Red Bull Racing,,7,6.553161,0.05705,0.15186,0.34994,0.0621,0.4,1.0,0.0621,0.3515,0.2727,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,38,D BEGANOVIC,Ferrari,,8,6.831724,0.04765,0.1365,0.32017,0.0614,0.4,1.0,0.0614,0.346,0.2273,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,81,O PIASTRI,McLaren,4,9,7.577634,0.0398,0.12269,0.27882,0.0599,0.4,1.0,0.0599,0.335,0.8636,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_event,experimental_challenger,5,G BORTOLETO,Audi,9,10,7.9843,0.03325,0.11027,0.2276,0.075,0.4,1.0,0.075,0.478,0.6364,2026-09-06T21:05:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
