date,session_key,gap_to_leader,interval,meeting_key,driver_number,source_closure_retrieved_utc
2026-03-15T06:07:40.264000+00:00,11245,0.0,0.0,1280,12,2026-09-06T01:25:04.708061Z
2026-03-15T06:09:25.352000+00:00,11245,0.0,0.0,1280,12,2026-09-06T01:25:04.708061Z
2026-03-15T06:09:29.466000+00:00,11245,0.0,0.0,1280,12,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:06.055000+00:00,11245,0.026,,1280,44,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:06.101000+00:00,11245,0.082,0.082,1280,63,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:06.147000+00:00,11245,0.13,0.104,1280,16,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:06.619000+00:00,11245,0.608,,1280,10,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.023000+00:00,11245,0.97,,1280,6,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.157000+00:00,11245,1.104,0.134,1280,87,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.431000+00:00,11245,1.321,,1280,43,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.595000+00:00,11245,0.0,0.0,1280,44,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.692000+00:00,11245,0.029,0.029,1280,12,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.696000+00:00,11245,1.513,0.218,1280,31,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.716000+00:00,11245,0.082,0.053,1280,16,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.776000+00:00,11245,0.142,0.06,1280,63,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:07.806000+00:00,11245,1.651,0.138,1280,30,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.048000+00:00,11245,1.74,0.089,1280,41,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.063000+00:00,11245,1.78,,1280,55,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.094000+00:00,11245,0.497,0.355,1280,10,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.169000+00:00,11245,1.866,0.788,1280,27,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.355000+00:00,11245,1.913,0.133,1280,14,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.410000+00:00,11245,0.876,0.379,1280,6,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.511000+00:00,11245,1.946,,1280,3,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.586000+00:00,11245,2.009,0.096,1280,77,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.636000+00:00,11245,0.983,0.107,1280,87,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.641000+00:00,11245,2.202,,1280,11,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.657000+00:00,11245,2.382,0.373,1280,18,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.676000+00:00,11245,1.152,0.169,1280,43,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:08.934000+00:00,11245,1.382,0.23,1280,31,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.055000+00:00,11245,1.519,0.137,1280,30,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.123000+00:00,11245,1.605,0.086,1280,41,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.376000+00:00,11245,1.833,0.228,1280,14,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.391000+00:00,11245,1.882,0.049,1280,27,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.450000+00:00,11245,1.903,0.021,1280,77,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.474000+00:00,11245,1.662,0.057,1280,55,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.665000+00:00,11245,2.102,0.199,1280,11,2026-09-06T01:25:04.708061Z
2026-03-15T07:04:09.676000+00:00,11245,2.111,0.009,1280,3,2026-09-06T01:25:04.708061Z
