event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,1,L NORRIS,McLaren,3,1,2.76425,0.3528,0.6048,0.8232,0.063,0.84,1.0,0.063,0.335,0.9048,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,12,K ANTONELLI,Mercedes,2,2,2.99335,0.29286,0.54161,0.8232,0.0662,0.84,1.0,0.0662,0.357,0.9524,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,63,G RUSSELL,Mercedes,1,3,4.12435,0.2431,0.48503,0.8232,0.0662,0.84,1.0,0.0662,0.357,1.0,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,7,4,5.524825,0.2018,0.43436,0.8179,0.0654,0.84,1.0,0.0654,0.3515,0.7143,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,16,C LECLERC,Ferrari,6,5,5.5583,0.16752,0.38898,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.7619,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,25,C HERTA,Cadillac,,6,5.7263,0.13905,0.34834,0.77628,0.079,0.84,1.0,0.079,0.478,0.4762,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,36,A IWASA,Red Bull Racing,,7,5.777825,0.11543,0.31195,0.73487,0.0654,0.84,1.0,0.0654,0.3515,0.2381,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,38,D BEGANOVIC,Ferrari,,8,6.0003,0.09582,0.27936,0.67235,0.0646,0.84,1.0,0.0646,0.346,0.1905,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,81,O PIASTRI,McLaren,4,9,6.16425,0.07954,0.25017,0.58553,0.063,0.84,1.0,0.063,0.335,0.8571,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,stable_baseline,44,L HAMILTON,Ferrari,5,10,6.1663,0.06603,0.22403,0.47796,0.0646,0.84,1.0,0.0646,0.346,0.8095,2026-07-26T05:00:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
