date,session_key,position,meeting_key,driver_number
2026-09-05T14:25:26.881000+00:00,11357,9,1293,44
2026-09-05T14:25:26.881000+00:00,11357,3,1293,3
2026-09-05T14:25:26.881000+00:00,11357,7,1293,12
2026-09-05T14:25:26.881000+00:00,11357,4,1293,1
2026-09-05T14:25:26.881000+00:00,11357,10,1293,16
2026-09-05T14:25:26.881000+00:00,11357,6,1293,41
2026-09-05T14:25:26.881000+00:00,11357,12,1293,81
2026-09-05T14:25:26.881000+00:00,11357,2,1293,10
2026-09-05T14:25:26.881000+00:00,11357,5,1293,43
2026-09-05T14:25:26.881000+00:00,11357,1,1293,30
2026-09-05T14:25:26.881000+00:00,11357,13,1293,5
2026-09-05T14:25:26.881000+00:00,11357,11,1293,87
2026-09-05T14:25:30.678000+00:00,11357,1,1293,3
2026-09-05T14:25:30.678000+00:00,11357,3,1293,10
2026-09-05T14:25:30.678000+00:00,11357,2,1293,30
2026-09-05T14:25:33.881000+00:00,11357,9,1293,63
2026-09-05T14:25:33.881000+00:00,11357,10,1293,44
2026-09-05T14:25:33.881000+00:00,11357,8,1293,12
2026-09-05T14:25:33.881000+00:00,11357,5,1293,1
2026-09-05T14:25:33.881000+00:00,11357,11,1293,16
2026-09-05T14:25:33.881000+00:00,11357,7,1293,41
2026-09-05T14:25:33.881000+00:00,11357,13,1293,81
2026-09-05T14:25:33.881000+00:00,11357,4,1293,10
2026-09-05T14:25:33.881000+00:00,11357,6,1293,43
2026-09-05T14:25:33.881000+00:00,11357,15,1293,27
2026-09-05T14:25:33.881000+00:00,11357,14,1293,5
2026-09-05T14:25:33.881000+00:00,11357,12,1293,87
2026-09-05T14:25:33.881000+00:00,11357,3,1293,55
2026-09-05T14:25:33.881000+00:00,11357,16,1293,31
2026-09-05T14:27:04.441000+00:00,11357,2,1293,3
2026-09-05T14:27:04.441000+00:00,11357,1,1293,30
2026-09-05T14:27:08.316000+00:00,11357,1,1293,3
2026-09-05T14:27:08.316000+00:00,11357,2,1293,30
2026-09-05T14:28:27.291000+00:00,11357,2,1293,3
2026-09-05T14:28:27.291000+00:00,11357,1,1293,30
2026-09-05T14:28:30.775000+00:00,11357,1,1293,3
2026-09-05T14:28:30.775000+00:00,11357,2,1293,30
2026-09-05T14:29:32.341000+00:00,11357,4,1293,12
2026-09-05T14:29:32.341000+00:00,11357,6,1293,1
2026-09-05T14:29:32.341000+00:00,11357,8,1293,41
